Content Category,Video Title,Video URL,Video Cover Picture URL,Duration,Digital Tracker (Goo.gl)
Sports,Real Madrid vs Barcelona 2-3 - Highlights & Goals - 29 July 2017 ,https://www.youtube.com/watch?v=yE0BJMwGkRI,https://i.ytimg.com/vi/yE0BJMwGkRI/maxresdefault.jpg,4:41,https://goo.gl/4fM9JV
Sports, Best of Lin Dan vs Lee Chong Wei ,https://www.youtube.com/watch?v=6qKXVJcxWk4,http://cdn1.thecoverage.my/wp-content/uploads/2016/08/nnn.jpg,11:21,https://goo.gl/mV5LG5
Sci-fi,Stranger Things Season 1 Trailer,https://www.youtube.com/watch?v=XWxyRG_tckY,https://i.ytimg.com/vi/XWxyRG_tckY/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAVgFxfs3mYk_i9l_sRj1kawtRUhg,2:25,https://goo.gl/XW25oZ
Western dramas,"Blair & Serena 1x01 (Legendado) | Gossip Girl
",https://www.youtube.com/watch?v=3TEQ2GwA3Gk&list=PLN5fSSV5xEkhV-2Hs8TYVWW3r4sw6jxCa,https://i.ytimg.com/vi/e8_Z7-97mIw/maxresdefault.jpg,1:54,https://goo.gl/5ofKHm
Prestige dramas,FRANK UNDERWOOD'S BEST MONOLOGUE,https://www.youtube.com/watch?v=EDi7cRFcnnY,http://media.salon.com/2013/02/house_of_cards2.jpg,1:03,https://goo.gl/hLr5VF
Prestige dramas,"Mary & Matthew: Will They, Won't They?",https://www.youtube.com/watch?v=rXTZESBsCl8,https://i.ytimg.com/vi/sn9kJPqMysQ/maxresdefault.jpg,5:18,https://goo.gl/bY7YP3
Hollywood movies,Guardians of the Galaxy 2 Opening Scene Baby Groot Dance Movie Clip (2017),https://www.youtube.com/watch?v=_Si0DjxK98Q,http://digitalspyuk.cdnds.net/17/11/980x490/landscape-1489479757-baby-g-jpeg.jpg,4:25,https://goo.gl/DBbWPt
Hollywood movies,Star Wars VII The Force Awakens- Rey vs Kylo Ren Lightsaber Fight Scene,https://www.youtube.com/watch?v=rWF0f183tSA,https://i.ytimg.com/vi/nzGcYP-H1yA/maxresdefault.jpg,2:12,https://goo.gl/7am1Cw
Malay Drama,My Darling Inspektor Daniel Episod 5 (official teaser),https://www.youtube.com/watch?v=vV-qOZHD8AQ,https://3.bp.blogspot.com/-ZXJjFK9LEqk/WWND5Oupr2I/AAAAAAAAE1U/jYYFOAVDPSsxU0VDakf7QILzkz3cza4NwCLcBGAs/s1600/My%2BDarling%2BInspektor%2BDaniel.png,1:00,https://goo.gl/NP5mMD
Hollywood movies,"Fast and Furious 8 Movie Clips (2017) | The Fate of the Furious
",https://www.youtube.com/watch?v=t83YU-vOwak,https://i.ytimg.com/vi/t83YU-vOwak/maxresdefault.jpg,10:28,https://goo.gl/RPPAbv
K-drama,Goblin Ep 7 – Make A Wish,https://www.youtube.com/watch?v=EhWdM4Xut80,https://i.ytimg.com/vi/EhWdM4Xut80/maxresdefault.jpg,2:02,https://goo.gl/o93p5m
K-drama,Strong Woman Do Bong Soon Ep 1 - So Damn Sexy,https://www.youtube.com/watch?v=U0CIjwzmXFA&t=5s,https://i.ytimg.com/vi/CKz62p3p7TY/maxresdefault.jpg,1:12,https://goo.gl/pcKZP4
Anime,Boku no Hero - Bakugou vs Todoroki,https://www.youtube.com/watch?v=bMcE60-q8R0,https://i.ytimg.com/vi/fMdyq80kdg8/maxresdefault.jpg,3:49,https://goo.gl/YaD22R
Hollywood movies,Star Wars VII The Force Awakens- Second Battle/Rey Meets Kylo Ren Scene,https://www.youtube.com/watch?v=jipvuyDBXy8,https://i.ytimg.com/vi/sBVonQIIqyg/maxresdefault.jpg,3:17,https://goo.gl/HDdZyn
Western dramas,Riverdale Season 1 Episode 2 - Archie and Reggie fight,https://www.youtube.com/watch?v=2XpbdtloOV0,https://vignette4.wikia.nocookie.net/riverdalearchie/images/5/5f/Season_1_Episode_2_A_Touch_of_Evil_Archie_vs_Reggie.png/revision/latest?cb=20170311181238,2:25,https://goo.gl/7ugvUa
Malay Drama,Meh Sandar Lagi - Ep. 8 (Akhir),https://www.youtube.com/watch?v=R7K83Tkrr5s,https://i.ytimg.com/vi/-z669C11Sz4/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDXrrrRsPo4JVtc0ojXLq1Ia7WapQ,39:16,https://goo.gl/Vw6Nj1
Chinese Drama,Unholy Alliance,https://www.youtube.com/watch?v=dhWXJSwui4g&feature=youtu.be,http://img.youtube.com/vi/dhWXJSwui4g/maxresdefault.jpg,3:07,https://goo.gl/dyy2uF
